date,datetime,cash_type,card,money,coffee_name,machine
09/03/2024,09/03/2024 14:26,card,ANON-0000-0000-0044,38.7,Hot Chocolate,machine-1
09/03/2024,09/03/2024 19:17,card,ANON-0000-0000-0009,38.7,Cappuccino,machine-1
09/03/2024,09/03/2024 19:19,card,ANON-0000-0000-0009,38.7,Hot Chocolate,machine-1
10/03/2024,10/03/2024 07:44,cash,UNKNOWN,30,Americano,machine-1
10/03/2024,10/03/2024 07:45,cash,UNKNOWN,35,Americano with Milk,machine-1
10/03/2024,10/03/2024 10:06,cash,UNKNOWN,40,Latte,machine-1
10/03/2024,10/03/2024 11:19,card,ANON-0000-0000-0045,24,Espresso,machine-1
10/03/2024,10/03/2024 17:51,cash,UNKNOWN,35,Americano with Milk,machine-1
10/03/2024,10/03/2024 19:34,card,ANON-0000-0000-0046,38.7,Latte,machine-1
10/03/2024,10/03/2024 19:35,card,ANON-0000-0000-0046,28.9,Cortado,machine-1
11/03/2024,11/03/2024 10:18,cash,UNKNOWN,40,Latte,machine-1
11/03/2024,11/03/2024 11:24,cash,UNKNOWN,40,Cappuccino,machine-1
11/03/2024,11/03/2024 11:24,cash,UNKNOWN,30,Cortado,machine-1
11/03/2024,11/03/2024 11:26,cash,UNKNOWN,30,Americano,machine-1
11/03/2024,11/03/2024 11:32,card,ANON-0000-0000-0035,38.7,Cappuccino,machine-1
11/03/2024,11/03/2024 16:24,card,ANON-0000-0000-0047,28.9,Americano,machine-1
11/03/2024,11/03/2024 16:25,card,ANON-0000-0000-0047,38.7,Latte,machine-1
11/03/2024,11/03/2024 16:50,card,ANON-0000-0000-0048,28.9,Cortado,machine-1
12/03/2024,12/03/2024 10:15,cash,UNKNOWN,40,Latte,machine-1
12/03/2024,12/03/2024 10:15,card,ANON-0000-0000-0033,28.9,Americano,machine-1
12/03/2024,12/03/2024 10:16,card,ANON-0000-0000-0033,28.9,Cortado,machine-1
12/03/2024,12/03/2024 11:20,card,ANON-0000-0000-0049,38.7,Hot Chocolate,machine-1
12/03/2024,12/03/2024 12:46,card,ANON-0000-0000-0004,33.8,Americano with Milk,machine-1
12/03/2024,12/03/2024 12:47,card,ANON-0000-0000-0004,28.9,Americano,machine-1
12/03/2024,12/03/2024 16:15,card,ANON-0000-0000-0050,28.9,Americano,machine-1
13/03/2024,13/03/2024 11:06,card,ANON-0000-0000-0048,38.7,Hot Chocolate,machine-1
13/03/2024,13/03/2024 11:48,card,ANON-0000-0000-0004,28.9,Americano,machine-1
13/03/2024,13/03/2024 12:18,card,ANON-0000-0000-0051,28.9,Americano,machine-1
13/03/2024,13/03/2024 12:19,card,ANON-0000-0000-0051,28.9,Americano,machine-1
13/03/2024,13/03/2024 12:34,cash,UNKNOWN,25,Espresso,machine-1
13/03/2024,13/03/2024 14:26,card,ANON-0000-0000-0052,33.8,Americano with Milk,machine-1
13/03/2024,13/03/2024 15:40,card,ANON-0000-0000-0053,24,Espresso,machine-1
13/03/2024,13/03/2024 15:41,card,ANON-0000-0000-0053,24,Espresso,machine-1
13/03/2024,13/03/2024 16:47,card,ANON-0000-0000-0054,24,Espresso,machine-1
14/03/2024,14/03/2024 10:02,cash,UNKNOWN,40,Latte,machine-1
14/03/2024,14/03/2024 10:28,card,ANON-0000-0000-0055,38.7,Latte,machine-1
14/03/2024,14/03/2024 10:29,card,ANON-0000-0000-0055,38.7,Hot Chocolate,machine-1
14/03/2024,14/03/2024 13:27,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
14/03/2024,14/03/2024 13:28,card,ANON-0000-0000-0012,28.9,Americano,machine-1
14/03/2024,14/03/2024 13:52,card,ANON-0000-0000-0056,33.8,Americano with Milk,machine-1
14/03/2024,14/03/2024 13:52,card,ANON-0000-0000-0057,24,Espresso,machine-1
14/03/2024,14/03/2024 15:20,card,ANON-0000-0000-0058,38.7,Latte,machine-1
14/03/2024,14/03/2024 16:04,card,ANON-0000-0000-0059,33.8,Americano with Milk,machine-1
14/03/2024,14/03/2024 16:54,card,ANON-0000-0000-0050,24,Espresso,machine-1
14/03/2024,14/03/2024 18:58,card,ANON-0000-0000-0019,38.7,Hot Chocolate,machine-1
14/03/2024,14/03/2024 19:00,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
15/03/2024,15/03/2024 10:02,cash,UNKNOWN,40,Latte,machine-1
15/03/2024,15/03/2024 10:53,card,ANON-0000-0000-0060,38.7,Hot Chocolate,machine-1
15/03/2024,15/03/2024 18:19,card,ANON-0000-0000-0012,28.9,Americano,machine-1
16/03/2024,16/03/2024 12:06,card,ANON-0000-0000-0061,33.8,Americano with Milk,machine-1
16/03/2024,16/03/2024 12:07,card,ANON-0000-0000-0061,28.9,Americano,machine-1
16/03/2024,16/03/2024 15:58,card,ANON-0000-0000-0009,28.9,Cortado,machine-1
16/03/2024,16/03/2024 16:03,card,ANON-0000-0000-0009,28.9,Cortado,machine-1
16/03/2024,16/03/2024 16:04,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
16/03/2024,16/03/2024 17:58,card,ANON-0000-0000-0062,33.8,Americano with Milk,machine-1
17/03/2024,17/03/2024 10:10,cash,UNKNOWN,40,Latte,machine-1
17/03/2024,17/03/2024 12:55,card,ANON-0000-0000-0063,28.9,Cortado,machine-1
18/03/2024,18/03/2024 11:18,card,ANON-0000-0000-0064,28.9,Cortado,machine-1
18/03/2024,18/03/2024 15:31,card,ANON-0000-0000-0003,28.9,Americano,machine-1
18/03/2024,18/03/2024 15:32,card,ANON-0000-0000-0003,28.9,Americano,machine-1
18/03/2024,18/03/2024 15:33,card,ANON-0000-0000-0003,28.9,Americano,machine-1
19/03/2024,19/03/2024 10:20,cash,UNKNOWN,30,Cortado,machine-1
19/03/2024,19/03/2024 14:02,card,ANON-0000-0000-0065,38.7,Latte,machine-1
19/03/2024,19/03/2024 14:03,card,ANON-0000-0000-0065,38.7,Latte,machine-1
19/03/2024,19/03/2024 15:04,card,ANON-0000-0000-0049,38.7,Hot Chocolate,machine-1
19/03/2024,19/03/2024 16:53,card,ANON-0000-0000-0066,33.8,Americano with Milk,machine-1
19/03/2024,19/03/2024 19:26,cash,UNKNOWN,40,Hot Chocolate,machine-1
20/03/2024,20/03/2024 11:41,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
20/03/2024,20/03/2024 12:21,cash,UNKNOWN,40,Latte,machine-1
20/03/2024,20/03/2024 12:30,card,ANON-0000-0000-0049,28.9,Cortado,machine-1
20/03/2024,20/03/2024 13:16,card,ANON-0000-0000-0067,38.7,Cappuccino,machine-1
20/03/2024,20/03/2024 16:42,card,ANON-0000-0000-0050,38.7,Cocoa,machine-1
20/03/2024,20/03/2024 17:50,card,ANON-0000-0000-0068,38.7,Latte,machine-1
21/03/2024,21/03/2024 10:18,cash,UNKNOWN,40,Cappuccino,machine-1
21/03/2024,21/03/2024 12:25,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
21/03/2024,21/03/2024 12:26,card,ANON-0000-0000-0012,38.7,Cappuccino,machine-1
21/03/2024,21/03/2024 17:21,cash,UNKNOWN,30,Americano,machine-1
21/03/2024,21/03/2024 17:22,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
21/03/2024,21/03/2024 19:20,card,ANON-0000-0000-0069,38.7,Latte,machine-1
22/03/2024,22/03/2024 10:35,card,ANON-0000-0000-0070,33.8,Americano with Milk,machine-1
22/03/2024,22/03/2024 13:29,card,ANON-0000-0000-0071,33.8,Americano with Milk,machine-1
22/03/2024,22/03/2024 16:15,cash,UNKNOWN,40,Cappuccino,machine-1
22/03/2024,22/03/2024 17:17,card,ANON-0000-0000-0012,28.9,Americano,machine-1
22/03/2024,22/03/2024 17:17,card,ANON-0000-0000-0012,24,Espresso,machine-1
22/03/2024,22/03/2024 17:20,card,ANON-0000-0000-0050,28.9,Americano,machine-1
23/03/2024,23/03/2024 10:44,card,ANON-0000-0000-0072,38.7,Latte,machine-1
23/03/2024,23/03/2024 10:45,card,ANON-0000-0000-0073,33.8,Americano with Milk,machine-1
23/03/2024,23/03/2024 13:10,card,ANON-0000-0000-0074,38.7,Cappuccino,machine-1
23/03/2024,23/03/2024 13:11,card,ANON-0000-0000-0074,38.7,Cocoa,machine-1
23/03/2024,23/03/2024 14:44,card,ANON-0000-0000-0075,33.8,Americano with Milk,machine-1
23/03/2024,23/03/2024 15:47,card,ANON-0000-0000-0076,38.7,Latte,machine-1
23/03/2024,23/03/2024 15:49,card,ANON-0000-0000-0076,33.8,Americano with Milk,machine-1
23/03/2024,23/03/2024 16:00,card,ANON-0000-0000-0009,28.9,Cortado,machine-1
24/03/2024,24/03/2024 10:03,cash,UNKNOWN,40,Latte,machine-1
24/03/2024,24/03/2024 18:45,card,ANON-0000-0000-0077,38.7,Latte,machine-1
25/03/2024,25/03/2024 10:31,card,ANON-0000-0000-0009,38.7,Latte,machine-1
25/03/2024,25/03/2024 11:16,cash,UNKNOWN,35,Americano with Milk,machine-1
25/03/2024,25/03/2024 14:27,card,ANON-0000-0000-0078,38.7,Latte,machine-1
25/03/2024,25/03/2024 14:29,card,ANON-0000-0000-0017,38.7,Latte,machine-1
25/03/2024,25/03/2024 18:37,card,ANON-0000-0000-0024,33.8,Americano with Milk,machine-1
25/03/2024,25/03/2024 19:34,card,ANON-0000-0000-0079,38.7,Cappuccino,machine-1
26/03/2024,26/03/2024 10:35,card,ANON-0000-0000-0055,38.7,Cocoa,machine-1
26/03/2024,26/03/2024 10:36,card,ANON-0000-0000-0055,38.7,Latte,machine-1
26/03/2024,26/03/2024 10:42,card,ANON-0000-0000-0080,38.7,Latte,machine-1
26/03/2024,26/03/2024 11:11,card,ANON-0000-0000-0009,28.9,Cortado,machine-1
26/03/2024,26/03/2024 13:35,card,ANON-0000-0000-0003,28.9,Americano,machine-1
26/03/2024,26/03/2024 13:36,card,ANON-0000-0000-0032,28.9,Cortado,machine-1
26/03/2024,26/03/2024 13:38,card,ANON-0000-0000-0059,28.9,Cortado,machine-1
26/03/2024,26/03/2024 13:57,card,ANON-0000-0000-0050,28.9,Americano,machine-1
26/03/2024,26/03/2024 15:48,card,ANON-0000-0000-0081,38.7,Latte,machine-1
26/03/2024,26/03/2024 18:33,card,ANON-0000-0000-0024,38.7,Latte,machine-1
26/03/2024,26/03/2024 18:34,card,ANON-0000-0000-0009,38.7,Hot Chocolate,machine-1
27/03/2024,27/03/2024 11:04,card,ANON-0000-0000-0003,28.9,Cortado,machine-1
27/03/2024,27/03/2024 11:05,card,ANON-0000-0000-0003,33.8,Americano with Milk,machine-1
27/03/2024,27/03/2024 12:57,card,ANON-0000-0000-0082,33.8,Americano with Milk,machine-1
27/03/2024,27/03/2024 13:35,card,ANON-0000-0000-0083,38.7,Hot Chocolate,machine-1
27/03/2024,27/03/2024 14:22,card,ANON-0000-0000-0012,38.7,Cappuccino,machine-1
27/03/2024,27/03/2024 14:23,card,ANON-0000-0000-0012,28.9,Americano,machine-1
27/03/2024,27/03/2024 18:30,card,ANON-0000-0000-0084,28.9,Cortado,machine-1
27/03/2024,27/03/2024 19:31,cash,UNKNOWN,40,Latte,machine-1
28/03/2024,28/03/2024 14:24,card,ANON-0000-0000-0085,28.9,Cortado,machine-1
28/03/2024,28/03/2024 17:24,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
28/03/2024,28/03/2024 17:27,card,ANON-0000-0000-0012,28.9,Americano,machine-1
28/03/2024,28/03/2024 17:32,card,ANON-0000-0000-0086,38.7,Latte,machine-1
29/03/2024,29/03/2024 10:56,card,ANON-0000-0000-0087,38.7,Latte,machine-1
29/03/2024,29/03/2024 12:34,card,ANON-0000-0000-0088,38.7,Cappuccino,machine-1
29/03/2024,29/03/2024 12:41,card,ANON-0000-0000-0088,38.7,Cappuccino,machine-1
29/03/2024,29/03/2024 13:22,cash,UNKNOWN,40,Cappuccino,machine-1
30/03/2024,30/03/2024 11:59,card,ANON-0000-0000-0069,38.7,Latte,machine-1
30/03/2024,30/03/2024 13:49,cash,UNKNOWN,40,Cappuccino,machine-1
30/03/2024,30/03/2024 16:12,card,ANON-0000-0000-0017,38.7,Latte,machine-1
30/03/2024,30/03/2024 16:36,card,ANON-0000-0000-0009,38.7,Latte,machine-1
30/03/2024,30/03/2024 16:37,card,ANON-0000-0000-0009,33.8,Americano with Milk,machine-1
31/03/2024,31/03/2024 10:40,card,ANON-0000-0000-0089,38.7,Cappuccino,machine-1
31/03/2024,31/03/2024 19:36,cash,UNKNOWN,30,Americano,machine-1
01/04/2024,01/04/2024 10:28,card,ANON-0000-0000-0004,28.9,Americano,machine-1
01/04/2024,01/04/2024 10:29,card,ANON-0000-0000-0004,33.8,Americano with Milk,machine-1
01/04/2024,01/04/2024 10:30,card,ANON-0000-0000-0004,33.8,Americano with Milk,machine-1
01/04/2024,01/04/2024 11:15,card,ANON-0000-0000-0009,33.8,Americano with Milk,machine-1
01/04/2024,01/04/2024 17:01,cash,UNKNOWN,40,Cappuccino,machine-1
01/04/2024,01/04/2024 18:18,card,ANON-0000-0000-0024,33.8,Americano with Milk,machine-1
01/04/2024,01/04/2024 18:45,card,ANON-0000-0000-0090,38.7,Hot Chocolate,machine-1
02/04/2024,02/04/2024 10:01,card,ANON-0000-0000-0001,38.7,Latte,machine-1
02/04/2024,02/04/2024 16:18,card,ANON-0000-0000-0003,28.9,Americano,machine-1
02/04/2024,02/04/2024 16:19,card,ANON-0000-0000-0003,28.9,Cortado,machine-1
02/04/2024,02/04/2024 19:59,cash,UNKNOWN,40,Cappuccino,machine-1
03/04/2024,03/04/2024 10:19,card,ANON-0000-0000-0003,28.9,Cortado,machine-1
03/04/2024,03/04/2024 10:20,card,ANON-0000-0000-0003,28.9,Americano,machine-1
03/04/2024,03/04/2024 13:12,card,ANON-0000-0000-0012,38.7,Cappuccino,machine-1
03/04/2024,03/04/2024 15:36,cash,UNKNOWN,30,Cortado,machine-1
04/04/2024,04/04/2024 10:44,card,ANON-0000-0000-0091,38.7,Latte,machine-1
04/04/2024,04/04/2024 11:26,card,ANON-0000-0000-0092,38.7,Latte,machine-1
04/04/2024,04/04/2024 11:27,card,ANON-0000-0000-0093,38.7,Cappuccino,machine-1
04/04/2024,04/04/2024 12:23,card,ANON-0000-0000-0094,28.9,Cortado,machine-1
04/04/2024,04/04/2024 19:42,cash,UNKNOWN,40,Latte,machine-1
05/04/2024,05/04/2024 10:40,card,ANON-0000-0000-0095,28.9,Americano,machine-1
05/04/2024,05/04/2024 10:42,card,ANON-0000-0000-0012,28.9,Americano,machine-1
05/04/2024,05/04/2024 11:06,card,ANON-0000-0000-0096,28.9,Cortado,machine-1
05/04/2024,05/04/2024 12:14,card,ANON-0000-0000-0097,33.8,Americano with Milk,machine-1
05/04/2024,05/04/2024 14:23,card,ANON-0000-0000-0098,38.7,Latte,machine-1
05/04/2024,05/04/2024 14:24,card,ANON-0000-0000-0098,28.9,Cortado,machine-1
05/04/2024,05/04/2024 15:30,cash,UNKNOWN,40,Latte,machine-1
05/04/2024,05/04/2024 15:54,cash,UNKNOWN,40,Cappuccino,machine-1
05/04/2024,05/04/2024 15:55,cash,UNKNOWN,30,Americano,machine-1
05/04/2024,05/04/2024 16:17,cash,UNKNOWN,40,Cocoa,machine-1
05/04/2024,05/04/2024 16:18,card,ANON-0000-0000-0003,24,Espresso,machine-1
06/04/2024,06/04/2024 12:32,card,ANON-0000-0000-0099,33.8,Americano with Milk,machine-1
06/04/2024,06/04/2024 14:13,card,ANON-0000-0000-0040,38.7,Cappuccino,machine-1
06/04/2024,06/04/2024 14:14,card,ANON-0000-0000-0040,28.9,Americano,machine-1
06/04/2024,06/04/2024 14:49,card,ANON-0000-0000-0009,38.7,Latte,machine-1
07/04/2024,07/04/2024 10:12,card,ANON-0000-0000-0091,38.7,Latte,machine-1
07/04/2024,07/04/2024 12:44,card,ANON-0000-0000-0040,38.7,Cappuccino,machine-1
07/04/2024,07/04/2024 12:46,card,ANON-0000-0000-0040,38.7,Cappuccino,machine-1
07/04/2024,07/04/2024 14:16,card,ANON-0000-0000-0100,28.9,Cortado,machine-1
07/04/2024,07/04/2024 14:17,card,ANON-0000-0000-0100,24,Espresso,machine-1
07/04/2024,07/04/2024 18:01,card,ANON-0000-0000-0101,38.7,Hot Chocolate,machine-1
07/04/2024,07/04/2024 18:02,card,ANON-0000-0000-0101,33.8,Americano with Milk,machine-1
08/04/2024,08/04/2024 10:58,card,ANON-0000-0000-0102,33.8,Americano with Milk,machine-1
08/04/2024,08/04/2024 10:59,card,ANON-0000-0000-0103,38.7,Cappuccino,machine-1
08/04/2024,08/04/2024 11:01,card,ANON-0000-0000-0012,28.9,Americano,machine-1
08/04/2024,08/04/2024 11:04,card,ANON-0000-0000-0104,38.7,Cappuccino,machine-1
08/04/2024,08/04/2024 12:54,cash,UNKNOWN,25,Espresso,machine-1
08/04/2024,08/04/2024 15:43,cash,UNKNOWN,35,Americano with Milk,machine-1
08/04/2024,08/04/2024 16:41,card,ANON-0000-0000-0017,38.7,Latte,machine-1
08/04/2024,08/04/2024 18:18,card,ANON-0000-0000-0105,28.9,Americano,machine-1
08/04/2024,08/04/2024 19:22,card,ANON-0000-0000-0024,33.8,Americano with Milk,machine-1
08/04/2024,08/04/2024 19:23,card,ANON-0000-0000-0106,38.7,Cappuccino,machine-1
09/04/2024,09/04/2024 10:22,cash,UNKNOWN,40,Cappuccino,machine-1
09/04/2024,09/04/2024 10:24,cash,UNKNOWN,30,Americano,machine-1
09/04/2024,09/04/2024 11:42,card,ANON-0000-0000-0091,38.7,Latte,machine-1
09/04/2024,09/04/2024 15:11,card,ANON-0000-0000-0107,38.7,Hot Chocolate,machine-1
09/04/2024,09/04/2024 17:25,card,ANON-0000-0000-0049,38.7,Hot Chocolate,machine-1
10/04/2024,10/04/2024 10:21,cash,UNKNOWN,25,Espresso,machine-1
10/04/2024,10/04/2024 17:55,cash,UNKNOWN,40,Hot Chocolate,machine-1
10/04/2024,10/04/2024 17:55,card,ANON-0000-0000-0108,24,Espresso,machine-1
10/04/2024,10/04/2024 18:24,card,ANON-0000-0000-0009,38.7,Cappuccino,machine-1
10/04/2024,10/04/2024 20:04,card,ANON-0000-0000-0109,38.7,Latte,machine-1
11/04/2024,11/04/2024 10:41,card,ANON-0000-0000-0110,28.9,Americano,machine-1
11/04/2024,11/04/2024 10:42,card,ANON-0000-0000-0110,28.9,Americano,machine-1
11/04/2024,11/04/2024 16:35,card,ANON-0000-0000-0017,38.7,Latte,machine-1
11/04/2024,11/04/2024 19:16,card,ANON-0000-0000-0106,38.7,Cappuccino,machine-1
11/04/2024,11/04/2024 19:18,card,ANON-0000-0000-0024,33.8,Americano with Milk,machine-1
12/04/2024,12/04/2024 19:03,card,ANON-0000-0000-0019,38.7,Hot Chocolate,machine-1
12/04/2024,12/04/2024 19:38,card,ANON-0000-0000-0009,28.9,Cortado,machine-1
13/04/2024,13/04/2024 12:29,card,ANON-0000-0000-0009,38.7,Latte,machine-1
13/04/2024,13/04/2024 12:43,card,ANON-0000-0000-0012,28.9,Americano,machine-1
13/04/2024,13/04/2024 15:06,cash,UNKNOWN,40,Hot Chocolate,machine-1
13/04/2024,13/04/2024 15:07,cash,UNKNOWN,40,Hot Chocolate,machine-1
13/04/2024,13/04/2024 16:18,card,ANON-0000-0000-0111,38.7,Cappuccino,machine-1
13/04/2024,13/04/2024 16:19,card,ANON-0000-0000-0111,38.7,Latte,machine-1
13/04/2024,13/04/2024 17:51,card,ANON-0000-0000-0112,38.7,Cappuccino,machine-1
13/04/2024,13/04/2024 17:53,card,ANON-0000-0000-0012,38.7,Cappuccino,machine-1
14/04/2024,14/04/2024 10:55,cash,UNKNOWN,40,Latte,machine-1
14/04/2024,14/04/2024 12:24,card,ANON-0000-0000-0113,38.7,Cappuccino,machine-1
14/04/2024,14/04/2024 12:27,cash,UNKNOWN,30,Cortado,machine-1
14/04/2024,14/04/2024 12:29,cash,UNKNOWN,30,Cortado,machine-1
14/04/2024,14/04/2024 12:31,cash,UNKNOWN,35,Americano with Milk,machine-1
14/04/2024,14/04/2024 13:21,card,ANON-0000-0000-0114,28.9,Cortado,machine-1
14/04/2024,14/04/2024 14:23,card,ANON-0000-0000-0012,28.9,Americano,machine-1
14/04/2024,14/04/2024 14:24,card,ANON-0000-0000-0012,28.9,Americano,machine-1
14/04/2024,14/04/2024 14:25,card,ANON-0000-0000-0012,28.9,Americano,machine-1
14/04/2024,14/04/2024 15:46,card,ANON-0000-0000-0017,38.7,Cappuccino,machine-1
14/04/2024,14/04/2024 16:59,card,ANON-0000-0000-0012,28.9,Cortado,machine-1
14/04/2024,14/04/2024 17:00,card,ANON-0000-0000-0019,38.7,Latte,machine-1
14/04/2024,14/04/2024 18:38,card,ANON-0000-0000-0115,38.7,Cappuccino,machine-1
15/04/2024,15/04/2024 11:45,card,ANON-0000-0000-0064,28.9,Americano,machine-1
15/04/2024,15/04/2024 17:01,card,ANON-0000-0000-0003,28.9,Americano,machine-1
