product_id,product_position,promotion,seasonal,sales_volume,name,price,terms,section
167981,END-CAP,No,No,730,HOUNDSTOOTH SUIT JACKET,139,JACKETS,MAN
146839,AISLE,No,No,1525,BOMBER JACKET,109,JACKETS,MAN
187180,FRONT OF STORE,No,Yes,647,HOODED TECHNICAL JACKET,109,JACKETS,MAN
167640,END-CAP,Yes,Yes,1017,HOODED TECHNICAL JACKET,109,JACKETS,MAN
165158,FRONT OF STORE,No,No,1622,WASHED EFFECT BOMBER JACKET,109,JACKETS,MAN
111521,FRONT OF STORE,Yes,Yes,2553,WASHED TECHNICAL JACKET,99.9,JACKETS,MAN
120228,END-CAP,No,No,2347,100% FEATHER FILL PUFFER JACKET,89.9,JACKETS,MAN
133078,AISLE,No,Yes,2535,PADDED BOMBER JACKET,69.9,JACKETS,MAN
137598,AISLE,No,Yes,2839,POCKET JACKET,139,JACKETS,MAN
138779,FRONT OF STORE,Yes,Yes,2801,SLIM FIT SUIT JACKET,139,JACKETS,MAN
198329,FRONT OF STORE,Yes,Yes,628,MIXED COLLAR JACKET,109,JACKETS,MAN
110295,END-CAP,Yes,No,1448,HOODED DENIM JACKET,129,JACKETS,MAN
196427,AISLE,Yes,No,1401,WAXED EFFECT PLAID JACKET,169,JACKETS,MAN
110075,FRONT OF STORE,Yes,Yes,2185,WOOL BLEND FELT TEXTURE JACKET,159,JACKETS,MAN
132322,FRONT OF STORE,Yes,No,2135,PRINTED DENIM OVERSHIRT,12.99,JACKETS,MAN
199631,FRONT OF STORE,Yes,No,1269,STRUCTURED TWILL OVERSHIRT,89.9,JACKETS,MAN
182306,FRONT OF STORE,No,No,2805,COTTON OVERSHIRT,89.9,JACKETS,MAN
194915,AISLE,Yes,No,1796,REVERSIBLE PLAID OVERSHIRT,79.9,JACKETS,MAN
131298,END-CAP,Yes,No,2133,PLAID OVERSHIRT,69.9,JACKETS,MAN
168571,AISLE,No,No,1778,POCKET OVERSHIRT,89.9,JACKETS,MAN
154224,END-CAP,Yes,No,2474,100% LINEN OVERSHIRT,89.9,JACKETS,MAN
171061,AISLE,No,Yes,2032,PLAID OVERSHIRT,59.9,JACKETS,MAN
119049,AISLE,No,Yes,1659,POCKET DENIM OVERSHIRT,89.9,JACKETS,MAN
158781,END-CAP,Yes,Yes,2443,FAUX SUEDE OVERSHIRT,69.9,JACKETS,MAN
151438,AISLE,No,Yes,1137,PLAID OVERSHIRT,69.9,JACKETS,MAN
152871,END-CAP,No,Yes,1847,TEXTURED POCKET OVERSHIRT,69.9,JACKETS,MAN
126806,END-CAP,Yes,Yes,2404,POCKET OVERSHIRT,109,JACKETS,MAN
134104,END-CAP,No,Yes,1466,OVERSHIRT,59.9,JACKETS,MAN
120266,FRONT OF STORE,No,No,2328,PLAID OVERSHIRT,59.9,JACKETS,MAN
173550,END-CAP,No,Yes,1431,POCKET OVERSHIRT,59.9,JACKETS,MAN
175927,END-CAP,No,Yes,1506,ZIPPERED WOOL BLEND OVERSHIRT,109,JACKETS,MAN
154278,END-CAP,No,Yes,2749,GEOMETRIC JACQUARD OVERSHIRT,89.9,JACKETS,MAN
183537,FRONT OF STORE,Yes,Yes,2434,PAINT PRINT OVERSHIRT,19.99,JACKETS,MAN
150424,FRONT OF STORE,No,Yes,2067,PADDED CORDUROY OVERSHIRT,79.9,JACKETS,MAN
183825,AISLE,Yes,Yes,2989,PLAID TIE DYE OVERSHIRT,19.99,JACKETS,MAN
144012,FRONT OF STORE,Yes,No,743,OVERSHIRT WITH CONTRASTING TOPSTITCHING,59.9,JACKETS,MAN
147051,FRONT OF STORE,No,No,2325,QUILTED STRUCTURED OVERSHIRT,109,JACKETS,MAN
185800,END-CAP,No,Yes,1841,TECHNICAL OVERSHIRT,109,JACKETS,MAN
197524,AISLE,Yes,Yes,2231,PLAID OVERSHIRT,49.9,JACKETS,MAN
148823,AISLE,No,Yes,2211,SUEDE FISHERMAN SANDALS,89.9,SHOES,MAN
114550,END-CAP,No,No,2114,ZIPPER MULTIPIECE SNEAKERS,69.9,SHOES,MAN
125398,AISLE,Yes,Yes,1350,SUEDE LACELESS SNEAKERS,69.9,SHOES,MAN
123985,END-CAP,No,No,2240,MULTICOLOR SNEAKERS,69.9,SHOES,MAN
186638,END-CAP,Yes,No,1296,RETRO RUNNING SNEAKERS,59.9,SHOES,MAN
167281,END-CAP,Yes,Yes,892,SUEDE HIGH-TOPS,59.9,SHOES,MAN
118578,END-CAP,No,Yes,1678,SUEDE STRAP SANDALS,49.9,SHOES,MAN
174041,END-CAP,No,No,2016,MULTIPIECE SNEAKERS,49.9,SHOES,MAN
127644,FRONT OF STORE,No,Yes,1498,TOPSTITCH SNEAKERS,45.9,SHOES,MAN
132007,AISLE,No,Yes,2491,RETRO SNEAKERS,9.99,SHOES,MAN
147998,AISLE,No,No,2556,RETRO HIGH TOP SNEAKERS,9.99,SHOES,MAN
176666,AISLE,Yes,No,2852,MULTI-PIECED RETRO SNEAKERS,45.9,SHOES,MAN
193686,AISLE,Yes,No,1899,TASSEL LEATHER LOAFERS,99.9,SHOES,MAN
163610,FRONT OF STORE,Yes,No,2466,MOC-TOE SUEDE BOOTS,89.9,SHOES,MAN
170364,AISLE,No,No,818,STRAP SANDALS,45.9,SHOES,MAN
167599,AISLE,No,No,1500,SUEDE RETRO SNEAKERS,59.9,SHOES,MAN
166421,END-CAP,Yes,No,2878,HIKING BOOTS,79.9,SHOES,MAN
129247,FRONT OF STORE,Yes,No,2386,SUEDE SNEAKERS,69.9,SHOES,MAN
127314,END-CAP,Yes,Yes,2076,FAUX SHEARLING LINED SUEDE BOOTS,99.9,SHOES,MAN
111979,FRONT OF STORE,No,No,2734,CHUNKY SNEAKERS,59.9,SHOES,MAN
120354,AISLE,Yes,No,2836,DOUBLE STRAP SUEDE SANDALS,59.9,SHOES,MAN
144848,FRONT OF STORE,No,No,2193,CHUNKY SOLE CANVAS LACE-UP BOOTS,89.9,SHOES,MAN
111957,AISLE,Yes,No,2164,SUEDE PENNY LOAFERS,89.9,SHOES,MAN
160763,FRONT OF STORE,Yes,Yes,991,ADHERENT STRIPES SNEAKERS,45.9,SHOES,MAN
168270,END-CAP,Yes,Yes,1525,MULTIPIECE SNEAKERS,69.9,SHOES,MAN
195082,FRONT OF STORE,No,No,923,CHUNKY SOLE HIGH TOP SNEAKERS,69.9,SHOES,MAN
110329,FRONT OF STORE,No,Yes,2397,CONTRAST SOLE LEATHER SNEAKERS,69.9,SHOES,MAN
147449,END-CAP,No,No,1191,SUEDE RUNNING SNEAKERS,69.9,SHOES,MAN
193332,AISLE,Yes,No,1237,WOVEN LEATHER SLIDES,49.9,SHOES,MAN
146804,AISLE,Yes,No,1504,SUEDE SNEAKERS,69.9,SHOES,MAN
188909,AISLE,Yes,Yes,2863,ASYMMETRIC CROPPED KNIT SWEATER,39.9,SWEATERS,WOMAN
165910,END-CAP,Yes,No,2760,KNIT SWEATER WITH PEARLS,69.9,SWEATERS,WOMAN
136738,FRONT OF STORE,No,Yes,542,HIGH COLLAR KNIT SWEATER,7.99,SWEATERS,WOMAN
144497,END-CAP,Yes,Yes,1105,STRIPED KNIT SWEATER,49.9,SWEATERS,WOMAN
135036,END-CAP,Yes,No,1435,CABLE KNIT METALLIC SWEATER,49.9,SWEATERS,WOMAN
166331,AISLE,Yes,Yes,2877,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,59.9,SWEATERS,WOMAN
139789,AISLE,No,Yes,1094,WOOL AND CASHMERE BLEND RIB SWEATER,69.9,SWEATERS,WOMAN
118569,AISLE,No,Yes,994,ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER,49.9,SWEATERS,WOMAN
155848,END-CAP,Yes,No,1942,MOCK NECK WOOL AND SILK BLEND KNIT TOP,49.9,SWEATERS,WOMAN
152563,FRONT OF STORE,No,Yes,2572,CASHMERE BLEND KNIT SWEATER,169,SWEATERS,WOMAN
115153,AISLE,No,No,1736,ALPACA BLEND OPEN KNIT SWEATER,79.9,SWEATERS,WOMAN
125938,AISLE,Yes,Yes,1204,OVERSIZED KNIT SWEATER,49.9,SWEATERS,WOMAN
122809,END-CAP,No,Yes,1592,WOOL BLEND KNIT SWEATER,49.9,SWEATERS,WOMAN
181502,FRONT OF STORE,Yes,No,2591,SOFT JEWEL SWEATER,39.9,SWEATERS,WOMAN
182779,END-CAP,Yes,Yes,2097,FAUX FUR JEWEL SWEATER,35.9,SWEATERS,WOMAN
155674,FRONT OF STORE,No,No,897,METAL BEAD KNIT SWEATER,49.9,SWEATERS,WOMAN
182866,AISLE,No,Yes,1552,KNIT SWEATER WITH BUTTONS,39.9,SWEATERS,WOMAN
148230,FRONT OF STORE,Yes,No,2494,JEWEL KNIT SWEATER,59.9,SWEATERS,WOMAN
126979,FRONT OF STORE,No,No,2141,KNIT SWEATER WITH PIPING,49.9,SWEATERS,WOMAN
135521,END-CAP,No,Yes,2835,FINE KNIT CROP SWEATER,39.9,SWEATERS,WOMAN
185809,END-CAP,No,No,622,KNIT SWEATER WITH RIPS,49.9,SWEATERS,WOMAN
171520,END-CAP,Yes,Yes,2901,GATHERED WAIST KNIT SWEATER,47.9,SWEATERS,WOMAN
122926,END-CAP,No,No,867,KNIT V-NECK SWEATER,45.9,SWEATERS,WOMAN
150953,FRONT OF STORE,Yes,Yes,2434,BASIC FOIL KNIT SWEATER,35.9,SWEATERS,WOMAN
115873,END-CAP,Yes,Yes,2606,CONTRAST TOPSTITCHING CROP KNIT SWEATER,59.9,SWEATERS,WOMAN
115581,AISLE,No,Yes,2728,STRIPED CROP KNIT SWEATER,47.9,SWEATERS,WOMAN
183634,FRONT OF STORE,Yes,Yes,2778,BASIC KNIT SWEATER,27.9,SWEATERS,WOMAN
122484,AISLE,Yes,Yes,558,V-NECK KNIT SWEATER,47.9,SWEATERS,WOMAN
183574,AISLE,Yes,Yes,1752,FOIL KNIT CROP SWEATER,47.9,SWEATERS,WOMAN
185307,FRONT OF STORE,No,Yes,2743,BASIC 100% WOOL SWEATER,7.99,SWEATERS,WOMAN
118719,END-CAP,No,Yes,1669,COLORBLOCK KNIT CROP SWEATER,45.9,SWEATERS,WOMAN
134788,FRONT OF STORE,No,No,2179,FINE KNIT SWEATER,45.9,SWEATERS,WOMAN
140142,FRONT OF STORE,Yes,No,606,KNIT OPEN BACK PEARLY SWEATER,49.9,SWEATERS,WOMAN
153997,END-CAP,No,Yes,1608,KNIT PEARL SWEATER,45.9,SWEATERS,WOMAN
123230,AISLE,No,Yes,880,STRIPED TEXTURED OVERSHIRT,69.9,JACKETS,MAN
154676,AISLE,No,No,943,FLEECE OVERSHIRT,69.9,JACKETS,MAN
152985,AISLE,Yes,Yes,1049,PLAID OVERSHIRT,89.9,JACKETS,MAN
175584,FRONT OF STORE,No,No,2084,BAGGY FIT JEANS LIMITED EDITION,69.9,JEANS,MAN
147491,END-CAP,No,No,1563,BAGGY BELTED JEANS,59.9,JEANS,MAN
198283,END-CAP,Yes,Yes,1558,BAGGY FIT JEANS,69.9,JEANS,MAN
141547,END-CAP,No,No,1426,BAGGY FIT JEANS,69.9,JEANS,MAN
156342,FRONT OF STORE,Yes,Yes,1466,FLARED FIT CARGO JEANS,109,JEANS,MAN
186083,END-CAP,No,Yes,624,PLEATED WIDE FIT JEANS,49.9,JEANS,MAN
171776,AISLE,Yes,No,1685,DENIM SHIRT,12.99,JEANS,MAN
134429,AISLE,No,No,2914,RIPPED STRAIGHT FIT JEANS,69.9,JEANS,MAN
172816,AISLE,No,Yes,1524,TEXTURED SWEATER,69.9,SWEATERS,MAN
136272,END-CAP,No,Yes,2887,PURL KNIT SWEATER,12.99,SWEATERS,MAN
193227,END-CAP,Yes,Yes,1778,BRAIDED COLOR BLOCK SWEATER,69.9,SWEATERS,MAN
165786,END-CAP,No,Yes,1278,CONTRAST INTERIOR SWEATER,59.9,SWEATERS,MAN
174708,FRONT OF STORE,No,Yes,529,ABSTRACT JACQUARD SWEATER,59.9,SWEATERS,MAN
142257,AISLE,Yes,Yes,1180,BASIC SLIM FIT T-SHIRT,19.9,T-SHIRTS,MAN
126146,AISLE,No,No,2759,CROPPED WASHED T-SHIRT,39.9,T-SHIRTS,MAN
129134,AISLE,No,Yes,1831,BASIC HEAVYWEIGHT T-SHIRT,29.9,T-SHIRTS,MAN
129898,END-CAP,No,No,1866,HEART PRINT T-SHIRT,39.9,T-SHIRTS,MAN
189692,END-CAP,Yes,No,1553,TEXT T-SHIRT,39.9,T-SHIRTS,MAN
154846,END-CAP,Yes,No,917,PRINTED CROPPED FIT SHIRT LIMITED EDITION,39.9,T-SHIRTS,MAN
122307,END-CAP,No,No,702,RIBBED KNIT T-SHIRT,49.9,T-SHIRTS,MAN
182099,AISLE,Yes,No,1978,OVERSIZE FIT T-SHIRT,39.9,T-SHIRTS,MAN
159816,FRONT OF STORE,No,Yes,1961,BASIC MEDIUM WEIGHT T-SHIRT,27.9,T-SHIRTS,MAN
165326,AISLE,No,No,1188,STRUCTURED TEXT T-SHIRT,45.9,T-SHIRTS,MAN
185154,AISLE,Yes,No,996,ABSTRACT PRINT T-SHIRT,39.9,T-SHIRTS,MAN
141330,AISLE,No,Yes,1915,RAISED TEXT T-SHIRT LIMITED EDITION,39.9,T-SHIRTS,MAN
158958,END-CAP,No,No,903,RIBBED KNIT T-SHIRT,45.9,T-SHIRTS,MAN
155010,AISLE,Yes,Yes,729,SEMI-SHEER KNIT SHIRT LIMITED EDITION,45.9,T-SHIRTS,MAN
135857,AISLE,No,Yes,2045,VISCOSE BLEND KNIT T-SHIRT,45.9,T-SHIRTS,MAN
147690,AISLE,Yes,No,881,STRIPED JACQUARD T-SHIRT,39.9,T-SHIRTS,MAN
130321,END-CAP,Yes,No,2093,ABSTRACT PRINT KNIT T-SHIRT,39.9,T-SHIRTS,MAN
196752,END-CAP,No,No,2227,STRUCTURED TEXT T-SHIRT,45.9,T-SHIRTS,MAN
181011,AISLE,Yes,Yes,994,HERRINGBONE TEXTURED JACKET,89.9,SHOES,MAN
139967,END-CAP,No,No,2634,OVERSIZED CROPPED JACKET LIMITED EDITION,69.9,T-SHIRTS,MAN
162699,END-CAP,No,Yes,2732,LEATHER BIKER JACKET,89.9,SWEATERS,MAN
119044,AISLE,No,Yes,1140,CROPPED LEATHER JACKET,169,SWEATERS,MAN
121348,END-CAP,No,Yes,1008,FAUX LEATHER BOXY FIT JACKET,169,T-SHIRTS,MAN
163982,FRONT OF STORE,No,No,2685,FAUX LEATHER JACKET,69.9,T-SHIRTS,MAN
185774,END-CAP,Yes,Yes,1145,FAUX SUEDE BOMBER JACKET,19.99,T-SHIRTS,MAN
144651,AISLE,Yes,No,1791,DENIM BOMBER JACKET,139,T-SHIRTS,MAN
195103,AISLE,Yes,No,2849,BOUCLÉ TEXTURED JACKET,109,T-SHIRTS,MAN
123047,AISLE,No,Yes,2985,SUIT JACKET IN 100% LINEN,109,T-SHIRTS,MAN
123077,FRONT OF STORE,No,No,1603,JACQUARD DENIM JACKET,109,T-SHIRTS,MAN
171860,AISLE,Yes,No,707,PADDED DENIM JACKET,109,T-SHIRTS,MAN
149487,AISLE,No,Yes,1258,LEATHER JACKET,99.9,T-SHIRTS,MAN
168516,FRONT OF STORE,Yes,No,2168,LIGHTWEIGHT BOMBER JACKET,89.9,T-SHIRTS,MAN
177771,END-CAP,Yes,Yes,1764,SUIT JACKET,69.9,T-SHIRTS,MAN
172015,END-CAP,Yes,Yes,2622,FAUX LEATHER BOMBER JACKET,139,T-SHIRTS,MAN
118985,AISLE,No,Yes,694,PATCH BOMBER JACKET,139,T-SHIRTS,MAN
112194,AISLE,Yes,Yes,2187,STRETCH POCKET OVERSHIRT,109,JACKETS,MAN
113435,AISLE,No,Yes,2973,RIB COLLAR JACKET,129,JACKETS,MAN
159182,FRONT OF STORE,Yes,No,1014,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,169,JACKETS,MAN
199233,AISLE,Yes,No,2222,CONTRASTING PATCHES BOMBER JACKET,159,JACKETS,MAN
137044,AISLE,No,Yes,2534,PATCH BOMBER JACKET,12.99,JACKETS,MAN
154736,FRONT OF STORE,Yes,Yes,1466,CROPPED BOMBER JACKET LIMITED EDITION,19.9,JACKETS,MAN
141434,FRONT OF STORE,No,Yes,2870,FAUX LEATHER PUFFER JACKET,39.9,JACKETS,MAN
